제목,작가,평점,장르,관심(알림설정) 수
뷰티풀 군바리,설이 / 윤성원,9.81,"['드라마', '직업드라마', '밀리터리']","778,824"
신의 탑,SIU,9.88,"['판타지', '세계관', '이능력배틀물', '소년왕도물', '먼치킨']","1,966,241"
퀘스트지상주의,박태준 만화회사,9.76,"['드라마', '게임판타지', '학원물']","522,967"
똑 닮은 딸,이담,9.98,"['스릴러', '2020', '서스펜스']","447,641"
백수세끼,치즈,9.84,"['드라마', '음식', '감성드라마']","475,505"
윈드브레이커,조용석,9.83,"['스포츠', '스포츠성장']","1,144,805"
장씨세가 호위무사,김인호 / 조형근,9.93,"['무협', '사이다', '힘숨찐', '판무', '먼치킨', '소설원작']","304,511"
소녀의 세계,모랑지,9.92,"['드라마', '하이틴', '학원로맨스', '직진남', '삼각관계', '까칠남', '감성드라마']","1,125,780"
신화급 귀속 아이템을 손에 넣었다,정선율 / 헤스,9.91,"['판타지', '아포칼립스', '사이다', '게임판타지', '회귀', '헌터물', '소년왕도물', '먼치킨', '구원서사', '소설원작']","282,407"
별난식당,HO9,9.96,"['드라마', '지금추천작', '힐링', '직업드라마', '음식', '성장드라마']","97,814"
앵무살수,김성진,9.97,"['판타지', '판무']","222,179"
퍼니게임,배진수,9.58,['스릴러'],"84,616"
절대검감,김두루미 / 티아이 / 한중월야,9.94,"['무협', '환골탈태', '소설원작']","104,591"
호랑신랑뎐,고추참치,9.98,"['판타지', '무해한', '힐링', '연상연하', '동물']","164,890"
만렙돌파,"성불예정, 임형 / 미노",9.52,"['판타지', '고인물', '게임판타지', '먼치킨']","242,100"
꼬리잡기,바쉬,9.94,"['스릴러', '범죄', '서바이벌', '2020', '서스펜스', '두뇌싸움']","265,038"
물어보는 사이,성은,9.96,"['로맨스', '아이돌', '계약연애', '직진남', '인외존재', '연예계', '삼각관계', '뱀파이어']","386,170"
잔불의 기사,환댕,9.96,"['판타지', '세계관', '판무', '복수극']","208,351"
나 없는 단톡방,봉수,9.93,"['드라마', '요즘핫한추천작', '학원물']","105,395"
북부 공작님을 유혹하겠습니다,가천가 / 은하수 / 주시하,9.97,"['로맨스', '로판', '소설원작']","241,946"
순정말고 순종,슈안,9.96,"['로맨스', '로맨스코미디', '연예계', '삼각관계']","497,889"
리턴 투 플레이어,신성 / 세혼 / 인덱스,9.92,"['판타지', '아포칼립스', '게임판타지', '회귀', '소년왕도물', '먼치킨', '소설원작']","234,442"
히어로메이커,빤쓰,9.96,"['판타지', '히어로']","82,590"
루루라라 우리네 인생,현이씨,9.96,"['일상', '무해한']","30,000"
칼가는 소녀,오리,9.97,"['드라마', '최강자전', '2018', '성장드라마', '걸크러시', '감성드라마']","397,762"
신군,규남,9.95,"['액션', '소년왕도물']","87,811"
"또다시, 계약 부부",김종진 / 설우희,9.88,"['로맨스', '전남친', '선결혼후연애', '소설원작']","129,029"
천재 타자가 강속구를 숨김,황지성 / 스튜디오MW / 이블라인,9.86,"['스포츠', '야구', '소설원작']","52,324"
결혼생활 그림일기,은꼼지,9.97,['일상'],"111,226"
다시쓰는 연애사,최경민 / 영모,9.98,"['로맨스', '성별반전']","181,944"
더블클릭,"박수봉, 김장훈 / 박수봉",9.92,"['액션', '게임판타지', '스포츠성장']","166,231"
"아, 쫌 참으세요 영주님!",새우초밥 / daybook,9.97,"['로맨스', '소설원작']","120,813"
서브 남주가 파업하면 생기는 일,쓰레빠인간 / 해그늘 / 숙임,9.97,"['판타지', '로판', '소설원작']","68,087"
러브 똘츄얼리,김진경,6.29,['로맨스'],"15,511"
인섹터,마카빔,9.94,"['판타지', '힘숨찐', '이능력배틀물', '다크히어로']","62,500"
엘프,홍작가,9.93,"['판타지', '세계관']","16,588"
오빠집이 비어서,이서희 / 태소영,9.87,"['로맨스', '계약연애', '연예계', '소설원작']","182,037"
아슈타르테,SOON / 안다온,9.85,"['로맨스', '로판', '소설원작']","99,533"
파운더,임상윤 / 만두인,9.91,"['액션', '범죄']","45,839"
마이너스의 손,김뎐,9.96,"['판타지', '최강자전', '2015']","156,871"
사이다걸,김드루 / 김그루,9.81,['드라마'],"33,912"
사랑의 헌옷수거함,고잉,9.95,"['로맨스', '학원로맨스', '하이틴', '친구', '걸크러시']","232,407"
꿈의 기업,문지현,9.97,"['스릴러', '아포칼립스', 'sf']","118,070"
쥴리에타의 드레스 업,말차 / 유자차 / 채하빈,9.19,"['로맨스', '소설원작']","28,036"
수영만화일기,해오,9.91,"['일상', '무해한', '스포츠성장']","47,882"
헬크래프트,나락 / 영기,9.88,"['판타지', '서스펜스', '두뇌싸움']","39,693"
하루의 하루,김이랑,9.94,['드라마'],"56,914"
우산 없는 애,로밋,9.92,"['드라마', '2021', '성장드라마']","58,064"
피폐물의 해피엔딩을 위하여,호,9.93,"['로맨스', '빙의', '로판', '구원서사']","52,970"
입술이 예쁜 남자,고도 / 플라비,9.95,"['로맨스', '소설원작']","133,375"
랭커,신건 / taibogi,9.87,"['액션', '성장물', '서바이벌', '격투기', '소년왕도물']","31,036"
매지컬 급식:암살법사,웡웡이,9.94,"['판타지', '학원물', '이능력배틀물']","29,105"
최후의 금빛아이,알깨 / 새몽,9.94,"['판타지', '이세계', '성장드라마']","64,559"
어쌔신 크리드 - 잊혀진 사원,"샤이아탄, ARC, Ubisoft / Tabii",9.81,"['판타지', '레드아이스', '게임판타지']","17,408"
라서드,감람,9.96,['판타지'],"57,710"
도깨비 부른다,WEBANGSANG,9.95,['판타지'],"24,710"
영앤리치가 아니야!,최삡뺩,9.96,"['개그', '재벌']","42,255"
악당과 악당이 만나면,삵 / 쏘가리 / 임하얌,9.94,"['로맨스', '계략여주', '직진남', '로판', '걸크러시', '소설원작']","38,567"
파견체,곽백수,9.91,"['판타지', 'sf', '인외존재']","13,424"
원하나,비진,9.88,"['드라마', '2021']","47,555"
주작연애,우까,9.8,"['로맨스', '고자극로맨스', '최강자전', '혐관로맨스', '하이틴', '학원로맨스']","78,215"
너를 돌려차는 방법,한성만,9.96,"['로맨스', '동아리', '소꿉친구', '로맨스코미디', '힐링', '혐관로맨스', '하이틴', '학원로맨스', '친구', '연상연하', '성장드라마']","88,421"
고백어택,늠개,9.92,"['로맨스', '짝사랑', '학원로맨스']","59,516"
오늘의 비너스,엄세윤 / 도달,9.97,"['로맨스', '환골탈태', '2021', '친구', '연예계']","66,701"
퇴근 후에 만나요,박한나 / 햄친 / 로즈빈,9.93,"['로맨스', '2030연애', '로맨스코미디', '전남친', '오피스로맨스', '사내연애', '소설원작']","37,081"
"집사, 주세요!",꾀돌이,9.92,"['로맨스', '로맨스코미디', '4차원', '학원로맨스', '하이틴', '역하렘']","55,707"
백호랑,박혬,9.95,['판타지'],"60,238"
메리의 불타는 행복회로,김지수,9.92,['드라마'],"38,803"
지옥연애환담,"황도톨 / 당첨, 녹혜",9.96,"['로맨스', '로판', '까칠남', '소설원작']","49,135"
모스크바의 여명,이샨오 / 황장미,9.95,"['드라마', '힐링', '소설원작']","64,430"
포스트 팬데믹,좡좡 / 영명 / 한산이가,9.88,"['스릴러', '소설원작']","19,434"
슈퍼스타 천대리,Do8 / 이재국 / 박경원,9.82,"['감성', '음악', '연예계', '소설원작']","20,317"
굿바이 유교보이,아실,9.93,"['로맨스', '계략여주', '2030연애', '계약연애', '직진남', '삼각관계']","40,142"
세번째 로망스,문조,9.96,"['로맨스', '타임슬립', '전남친']","72,755"
역주행!,김현아,9.92,"['드라마', '아이돌', '아이돌연애', '연예계']","47,755"
트러블리걸,일쩜이,9.85,['로맨스'],"24,425"
버그이터,이륙,9.76,"['판타지', '2021', '게임판타지', '먼치킨']","36,605"
토마토가 돼라!,뮤리,9.95,['로맨스'],"32,016"
결혼공략,율무,9.96,"['로맨스', '로맨스코미디', '청춘로맨스', '캠퍼스로맨스']","44,631"
연애 연기대상,김충전 / 일공팔,9.91,"['로맨스', '고자극로맨스', '2030연애', '로맨스코미디', '계약연애', '캠퍼스로맨스', '청춘로맨스']","23,923"
악취해결사,샘샘,9.93,"['드라마', '최강자전', '2021', '학원물', '성장드라마']","22,071"
중독연구소,김택기,9.85,['드라마'],"27,981"
행운을 부탁해!,해롱,9.85,"['로맨스', '로맨스코미디', '현실로맨스', '로판']","23,315"
오로지 오로라,홍달,9.89,"['판타지', '최강자전', '2019', '히어로']","49,124"
별을 쫓는 소년들,HYBE,9.02,"['판타지', '히어로', '연예계']","55,800"
트리거,고경빈,9.85,"['판타지', '아포칼립스', '좀비']","26,263"
김부장,박태준 만화회사 / 정종택,9.45,"['액션', '사이다', '다크히어로', '먼치킨', '느와르']","547,801"
내가 키운 S급들,seri / 비완 / 근서,9.95,"['판타지', '회귀', '헌터물', '이능력배틀물', '소년왕도물', '먼치킨', '소설원작']","413,065"
마루는 강쥐,모죠,9.98,"['개그', '무해한', '햇살캐', '4차원', '동물']","463,183"
대학원 탈출일지,요다,9.97,"['일상', '하이퍼리얼리즘']","179,489"
사신소년,류,9.9,"['액션', '이능력배틀물', '소년왕도물', '먼치킨']","616,647"
신과함께 돌아온 기사왕님,지대공마법소년 / 전천후마검사 / 사람살려.,3.68,"['개그', '먼치킨', '소설원작']","29,992"
멸망 이후의 세계,S-Cynan / 언데드 감자 / 싱숑,9.91,"['판타지', '레드아이스', '차원이동', '아포칼립스', '소설원작']","305,383"
한림체육관,혜성 / 이석재,9.77,"['액션', '블루스트링', '슈퍼스트링', '학원물', '소년왕도물']","381,455"
사변괴담,강태진,9.9,"['스릴러', '역사물', '좀비', '빙의', '괴담']","65,460"
하루만 네가 되고 싶어,삼,9.97,"['로맨스', '최강자전', '2019', '직진남', '이세계', '역하렘', '삼각관계', '로판', '두뇌싸움', '걸크러시', '구원서사']","707,769"
용사가 돌아왔다,나락 / 풍백,9.46,"['액션', '차원이동', '아포칼립스', '먼치킨', '다크판타지']","249,386"
하북팽가 막내아들,스튜디오M / 기원 / 무향,9.83,"['무협', '회귀', '소년왕도물', '소설원작']","105,493"
시한부인 줄 알았어요!,혜용 / 에시 / 최아리,9.97,"['로맨스', '햇살캐', '로맨스코미디', '궁중로맨스', '계약연애', '삼각관계', '로판', '소설원작']","279,930"
궤짝,"박태준 만화회사, 주범 / 지노",9.72,['스릴러'],"54,263"
초인의 게임,Two-zero / 플랜에이 / 니콜로,9.95,"['판타지', '히어로', '헌터물', '이능력배틀물', '소설원작']","178,590"
호랑이 들어와요,배세혁 / 유은,9.98,['판타지'],"265,763"
삼국지톡,무적핑크 / 이리,9.9,['무협'],"165,052"
놓지마 정신줄 시즌3,신태훈 / 나승훈,9.96,"['개그', '드라마']","116,789"
올가미,해무리,9.98,"['드라마', '폭스남', '집착물', '고자극로맨스', '혐관로맨스', '인외존재', '뱀파이어']","493,758"
유사연애,여은,9.93,"['로맨스', '요즘핫한추천작', '폭스남', '고자극로맨스', '2030연애', '현실로맨스', '오피스로맨스']","176,269"
위아더좀비,이명재,9.97,"['드라마', '2020', '아포칼립스', '좀비', '감염', '감성드라마']","202,996"
원주민 공포만화,원주민,9.86,"['스릴러', '괴담']","296,148"
저 그런 인재 아닙니다,에몽 / 머나 / 덴피,9.97,"['판타지', '세계관', '이세계', '다크히어로', '소설원작']","188,344"
랜덤채팅의 그녀!,박은혁,9.24,"['드라마', '학원물']","579,909"
거짓말의 뉘앙스,사즈,9.91,"['드라마', '2022', '후회물', '하이퍼리얼리즘', '인플루언서']","62,711"
덴큐,백감독,9.83,"['판타지', 'sf']","35,503"
나타나주세요!,김기현,9.95,"['로맨스', '다정남', '캠퍼스로맨스', '연상연하']","406,249"
윌유메리미,마인드C,9.92,['일상'],"342,710"
윗집 그 남자,핸저 아트,9.91,"['스릴러', '해외작품', '집착물']","34,712"
용왕님의 셰프가 되었습니다,옥 / 카라쿨 / 문백경,9.97,"['판타지', '음식', '소설원작']","232,756"
하우스키퍼,채용택 / 유현,9.97,"['판타지', '슈퍼스트링', '아포칼립스', 'sf', '먼치킨', '감염']","185,546"
로잘린 보가트,삼월에 / 마하 / 하노HANO,9.97,"['로맨스', '고자극로맨스', '궁중로맨스', '소설원작']","138,052"
우리 집 고양이 보고 갈래?,삼태,9.97,"['로맨스', '요즘핫한추천작', '2022', '무해한', '회귀', '캠퍼스로맨스', '동물']","109,237"
배드 엔딩 메이커,오일구 / 심재영 / 류은가람,9.84,"['판타지', '소설원작']","27,293"
자매의 사생활,조주희 / 뉘롬,9.8,"['로맨스', '재벌', '고자극로맨스', '2030연애', '로맨스코미디', '혐관로맨스', '계약연애']","23,536"
해골협객,성불예정 / 준1,8.73,"['무협', '차원이동', '좀비', '판무', '빙의']","22,245"
사표내고 이계에서 힐링합니다,덤보 / 파란 / 딥블랙,9.94,"['판타지', '이세계', '음식', '소설원작']","57,016"
빅맨,하하영,9.74,"['스포츠', '농구', '스포츠성장']","123,056"
연우의 순정,이솔,9.97,"['감성', '다정남', '걸크러시']","224,345"
빌런투킬,퓨핀 / 은지,9.91,"['판타지', '사이다', '이능력배틀물', '소년왕도물', '복수극']","168,882"
짝사랑의 마침표,숭어,9.97,"['로맨스', '짝사랑', '하이틴']","270,119"
왕게임,신형욱 / 범고래,9.87,"['액션', '블루스트링', '학원물', '서스펜스']","109,502"
헥토파스칼,버퍼링 / 길성근,9.9,"['액션', '복수극', '느와르']","95,687"
반대로 끌리는 사이,한구,9.94,"['로맨스', '햇살캐', '로맨스코미디', '2021', '캠퍼스로맨스']","52,449"
짐승의 꽃,하브린 / 옆집찰스 / 황도톨,9.95,"['로맨스', '고자극로맨스', '2030연애', '로판', '소설원작']","72,769"
애옹식당,정다정,9.96,"['일상', '무해한', '힐링', '음식', '성장드라마', '동물']","97,792"
왕자님 짠내밥상,쑥,9.67,['드라마'],"7,090"
에이머,구동인,9.8,"['판타지', '두뇌싸움']","147,824"
은주의 방 2~3부,노란구미,9.94,"['드라마', '드라마']","161,517"
웅크,나유진,9.97,"['감성', '무해한', '힐링']","61,805"
로맨스가 가능해?,임주이 / 송정원,9.97,"['로맨스', '2030연애', '로맨스코미디', '청춘로맨스', '선결혼후연애', '걸크러시', '소설원작']","78,693"
그냥 선생님,연일,9.98,['일상'],"76,776"
대리게임,철준,8.66,"['스릴러', '게임판타지', '학원물', '복수극']","11,812"
제로게임,즐바센,9.97,"['판타지', '최강자전', '2015', '두뇌싸움', '걸크러시']","373,912"
내남친 킹카만들기,랑쓰 / 섯끼,9.87,"['로맨스', '환골탈태', '로맨스코미디', '2021']","116,116"
아이즈,정썸머,9.95,"['액션', '2019', '인외존재', '이능력배틀물']","88,383"
우투리: THE LEGACY,이재헌 / 홍기우,9.84,['판타지'],"16,962"
랜덤타겟,이니 / 정유한,9.94,['로맨스'],"64,794"
주인님을 잡아먹는 방법,세인 / 차혜영,9.97,"['로맨스', '직진남', '소설원작']","117,229"
여우자매,갈치,9.94,"['판타지', '동양풍판타지']","76,149"
한입만!,이한솔,9.92,"['로맨스', '인플루언서', '인외존재', '연예계']","53,858"
팀장님은 신혼이 피곤하다,장그린 / 강하다,9.91,"['로맨스', '짝사랑', '로맨스코미디', '계약연애', '오피스로맨스', '소설원작']","68,107"
"이 결혼, 새로고침",영 / 다프네 박 / 핑크티,9.8,"['로맨스', '계약연애', '소설원작']","50,972"
렌탈히어로,포르토 / 코벳,9.81,['액션'],"18,911"
필리아로제 - 가시왕관의 예언,백화등 / Ryuta / 김영지,9.97,"['판타지', '레드아이스', '소설원작']","78,084"
햄버거가 제일 좋아,용현 / 민국,9.96,"['로맨스', '현실로맨스', '청춘로맨스', '연상연하', '삼각관계']","49,764"
원포인트,잇,9.86,"['스포츠', '동아리', '스포츠성장']","21,865"
은밀한 재택근무,굴닭 / 타단 / 주황연,9.87,"['로맨스', '재벌', '2030연애', '로맨스코미디', '현실로맨스', '직진남', '친구', '재회', '오피스로맨스', '사내연애', '소설원작']","21,075"
공작저의 붉은 밤,H.C / 타샤토토 / 유세라,8.82,"['로맨스', '선결혼후연애', '뱀파이어', '로판', '구원서사', '소설원작']","18,375"
돌격! 용마치킨,팀 오누이,9.86,['판타지'],"19,183"
원수가 나를 유혹할 때,황비노 / 포롱 / 최서희,9.75,"['로맨스', '폭스남', '2030연애', '로맨스코미디', '회귀', '직진남', '소설원작']","32,840"
동경과 거짓말,오한,9.94,"['드라마', '음악', '2021', '성장드라마', '구원서사']","15,310"
DARK MOON: 회색 도시,HYBE,9.78,"['판타지', '세계관', '다크판타지', '느와르']","16,319"
"너의 순정, 나의 순정",정살,9.85,"['로맨스', '학원로맨스']","44,552"
AI 유하,박현 / 지홍주,9.83,"['로맨스', '아이돌연애', '로맨스코미디', '현실로맨스', '연예계', '삼각관계']","22,780"
붉은 이정표,달뜬,9.89,"['액션', '사이다', '동양풍판타지', '복수극', '먼치킨']","46,076"
화산귀환,LICO / 비가,9.92,"['무협', '세계관', '동양풍판타지', '힘숨찐', '회귀', '이세계', '먼치킨', '소설원작']","941,903"
무직백수 계백순,지발,9.68,"['개그', '요즘핫한추천작']","68,826"
전지적 독자 시점,UMI / 슬리피-C / 싱숑,9.94,"['판타지', '세계관', '레드아이스', '아포칼립스', '게임판타지', '헌터물', '이능력배틀물', '먼치킨', '구원서사', '소설원작']","984,641"
백XX,"병장, 박태준 만화회사 / 펀치킥",9.82,"['액션', '지금추천작', '범죄']","247,019"
캐슬2:만인지상,정연,9.95,"['액션', '요즘핫한추천작', '지금추천작', '범죄', '사이다', '복수극', '먼치킨', '느와르']","193,599"
66666년 만에 환생한 흑마법사,팀 더 지크 / 파사 / 화봉,9.94,"['판타지', '회귀', '먼치킨', '소설원작']","326,913"
일렉시드,손제호 / 제나,9.85,"['액션', '세계관', '학원물', '이능력배틀물', '성장드라마', '동물']","479,133"
미래의 골동품 가게,구아진,9.98,"['스릴러', '오컬트']","251,066"
운명을 보는 회사원,영완(映完) / 임성욱,9.97,"['판타지', '직업드라마', '소설원작']","130,754"
튜토리얼 탑의 고인물,토프 / 방구석김씨,9.79,"['액션', '고인물', '아포칼립스', '사이다', '게임판타지', '헌터물', '먼치킨', '소설원작']","340,505"
황후를 훔친 이는 누구인가,핀쿠 / 뮬리 / Lee jihye,9.92,"['로맨스', '로판', '소설원작']","143,285"
가짜 동맹,케냠,9.98,"['로맨스', '소꿉친구', '2021', '계약연애', '학원로맨스', '친구']","342,678"
칼에 취한 밤을 걷다,JP / 송민 / 유진성,9.91,"['무협', '세계관', '사이다', '판무', '소설원작']","115,613"
격기3반,이학,9.29,"['스포츠', '환골탈태', '격투기']","279,607"
내가 죽기로 결심한 것은,YUJU,9.96,"['로맨스', '폭스남', '집착물', '청춘로맨스', '재회']","604,662"
나쁜사람,둠스,9.66,"['액션', '학원물']","394,531"
빌드업,911,9.86,"['스포츠', '2019', '축구', '스포츠성장', '소년왕도물']","261,252"
왕따가 격투기를 너무 잘함,팀꿀빨 / 아몬드빵,9.31,"['액션', '지금추천작', '소설원작']","71,424"
쓰레기는 쓰레기통에!,EDDiERiNG,9.98,"['로맨스', '계략여주', '2021', '현실로맨스', '서스펜스']","259,632"
중간에서 만나,조흰 / 윤김,9.91,"['로맨스', '폭스남', '로맨스코미디', '연상연하']","145,871"
베이비 폭군,아원 / 이흰,9.97,"['로맨스', '육아물', '소설원작']","147,309"
